,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
6681,3.5,3,2.25,1860,8378,2.0,0.0,0.0,3,7,1860,0,1995,0.0,98038,47.3875,-122.032,1870,8378
17798,5.925,4,3.0,2170,8240,1.0,0.0,0.0,4,8,1370,800,1968,0.0,98052,47.6291,-122.093,2020,7944
18854,2.555,2,1.0,1440,43560,1.0,0.0,0.0,4,7,1150,290,1965,0.0,98027,47.4916,-122.082,1870,56628
13478,13.3,4,2.25,3260,4640,2.0,0.0,0.0,5,9,2360,900,1907,0.0,98112,47.6272,-122.312,3240,5800
10509,3.891,2,1.0,840,5400,1.0,0.0,0.0,4,7,840,0,1948,0.0,98118,47.5489,-122.271,1340,5400
14553,4.0,3,1.75,1560,8456,1.0,0.0,0.0,5,7,1560,0,1970,0.0,98028,47.7769,-122.25,2230,13109
17696,4.25,3,2.5,2650,12247,2.0,0.0,0.0,3,9,2650,0,2002,0.0,98001,47.3185,-122.259,2920,8965
19803,9.2,4,2.75,3140,7258,2.0,0.0,1.0,3,10,3140,0,2006,0.0,98034,47.7064,-122.232,2990,13600
16562,9.68,4,1.75,2630,9645,1.0,0.0,0.0,4,9,2630,0,1963,0.0,98040,47.5459,-122.228,2690,10439
14782,4.35,3,2.0,980,5000,1.0,0.0,0.0,3,6,980,0,1940,0.0,98144,47.595,-122.308,1970,3025
4730,5.65,4,2.75,1960,48787,1.5,0.0,0.0,4,9,1960,0,1983,0.0,98072,47.7484,-122.111,1970,36425
8621,1.9,3,1.75,1520,9600,1.0,0.0,0.0,4,7,1520,0,1967,0.0,98059,47.473,-122.149,1590,10183
11480,4.99,4,2.5,1970,2601,2.0,0.0,0.0,3,7,1440,530,1999,0.0,98144,47.5949,-122.308,1760,3025
4715,4.2,3,1.0,1060,6000,1.0,0.0,0.0,3,8,1060,0,1954,0.0,98118,47.5427,-122.275,1240,7874
8076,7.2,3,3.25,3410,25741,2.0,0.0,0.0,4,8,3410,0,1993,0.0,98014,47.6929,-121.868,1660,25865
21305,13.5,4,3.5,4680,12495,2.0,0.0,0.0,3,10,3040,1640,2008,0.0,98033,47.6984,-122.206,3240,10749
5353,3.0,3,2.5,1800,3253,2.0,0.0,0.0,3,7,1800,0,2001,0.0,98108,47.5401,-122.292,1800,3081
6399,4.73,2,1.0,940,4000,1.0,0.0,0.0,3,6,720,220,1942,0.0,98199,47.6488,-122.385,1180,6000
